2,Great location - otherwise disappointing,Chris,"We had read lots of the reviews of this hotel on here, and knew that this was not going to be a 5-star luxury experience, but that the location was ideal for sight-seeing.  This was indeed true - seconds off Times Square and right at the heart of things in NYC. But even though I expected cheap and cheerful, I was still disappointed with the hotel.  The rooms are seriously in need of renovation - to the extent that they are probably impossible to keep clean because the fixtures are so old. The bizarre 70s brown and green colour scheme makes the room feel musty and grimy, and the walls in our room were grazed and knocked. The carpet seemed to have layers of grime around the edges, the scratchy blanket and cover on the bed had long stray hairs included, and the bathroom had black…",https://www.tripadvisor.com/Profile/chrisa313131
2,A lot to be desired,MARK M,"First, the positive. Convenient location and a friendly and accommodating  housekeeping staff that promptly responded to a couple of routine requests. Otherwise, not so good. The Queen bed sloped sharply on both sides towards the middle; the bathroom was in major need of retileing and the lines at lobby checkout and check-in were longer than the line outside ""Hello, Dolly."" (Okay, that's an exaggeration). Overall, not a good value.",https://www.tripadvisor.com/Profile/K6517RBmarkm
2,Mediocre at best,canadianhockey91,"Check in staff were friendly. The rooms were clean. The beds are very firm and not all that comfortable for a supposedly high end hotel. That wasn't the biggest issue.   The wait staff at the bar or the single server we had was exceptionally terrible. While asking what we wanted to drink I asked what types of of bourbon he had and he said it was in the menu. I stated it was not. He then ran off and came back 10min later to ask again. This time I showed him the menu that had nothing and he said oh wrong menu, I then asked for the correct one and he said sorry we don't have it then did not even ask if we wanted a drink again.   While that is an isolated incident I found it incredible unprofessional.   The location is very good. Right beside Grand Central and easily accessible. It…",https://www.tripadvisor.com/Profile/canadianhockey91
1,Do NOT stay here!!! ,claire o,"I have just returned from an amazing 4 night trip in New York but unfortunately the hotel was a huge disappointment!  The main issue at this hotel being rude front of desk staff! From the moment we arrived we had various issues which were made 10 x worse than they needed to be by the front desk & how they spoke to us. The hotel isn’t cheap so I would expect a basic level of service but it simply did not exist. The only 2 members of staff that actually made a difference was Herbert & Miss Henry (& we thank you for that!)  The rooms were old, dated & the first room we was given was so small you could hardly move, we asked to move room which we did after lots of heated discussions & managed to get a better room. The straw that broke the camels back was the fact the hotel charged us…",https://www.tripadvisor.com/Profile/claireo583
2,Somewhat disappointing,bcbloke,"I tried to like this place, as I like to give all establishments I visit a fair chance. I usually do not comment on hospitality service, as I like to think of myself as someone who's not very demanding-- I'm usually and easily pleased, and I don't ask for much, if at all. I only note when I feel that there has been an indelible deficiency. Perhaps they're overworked or understaffed that particular night (11 January), but I felt that the staff at the front desk at the time that I checked in (around 9.30pm on a busy evening) did not provide me with a particularly warm welcome, as they seemed impatient. They were certainly not impolite (and neither was I), but I felt uncomfortably rushed for no reason, as if I was a nuisance instead of a guest.   My room was rather roomy and…",https://www.tripadvisor.com/Profile/bcbloke
2,OMG no! ,BM0409,"Pros  - large rooms (for nyc anyway)  Cons - huge hotel that is outdated, sterile and no personality  - popcorn ceilings in room and small bathrooms  - rooms have NO minibar, not even water.  - prices for food are insane ($45 for breakfast for ONE) - centrally located in Times Square- the grossest place on earth. This is not true NY.   If you like waiting 20 minutes for an elevator, walking in crowds of thousands and looking at bright lights and stores you can find in any suburban mall, this is the place for you. If your coming to NY I recommend staying downtown eastside where it's not tourist central.  ",https://www.tripadvisor.com/Profile/melanie_0409
2,Such a disappointment,Claire G,"Whilst i wasn't expecting top notch service at a massive Hilton in NY i did think it would be comparable to other Hiltons where i have stayed around the world. On arrival the check in was really too long with only 2 people manning the desks but i had been warned by colleagues to expect this. Once in the room (tip:get in the right elevator as left and right sides don't go to the same floors) it seemed spacious enough. After a long haul flight i was a bit thirsty so i looked for a bottle of water. There were none. So i opened the mini bar which was empty...first disappointment. Next was my standard bug bear, but not one i come across in purportedly high end hotels, of a plastic shower curtain in the bathroom. These smell and naturally the bathroom smelled of damp. They also stick…",https://www.tripadvisor.com/Profile/Q9899STclaireg
2,This was probably a classic hotel once...,Rasmus H,"I had one night at the New Yorker when I unexpectedly decided to book an extra night in New York City. At $343 for the night, it was not cheap by any means, but most similar hotels were priced around the same at the time (mid October 2019).  The hotel has a pretty late check in time of 4 PM (compared to the standard 3 PM) and indeed, when I checked in, I was told my room was not ready, so I decided to store my bag until I could check in later. I was pretty shocked to learn that I had to pay a $5 fee to store my bag for a few hours. I've never been to a hotel before or since that charged for that ""service"".   Once I got to my room, I found that it was incredibly small and cramped. There was barely room for the bed. The room had no view either, except of the building opposite…",https://www.tripadvisor.com/Profile/NirvClub
2,Stay somewhere else.,Michael H,"The overall feeling of the room is a sense of neglect.  Was it clean?  Maybe?  Nothing was gleeming like youd expect.  Was it old?  Definitely.  The furniture felt like 1990's and was in the condition of my son's dorm room at college.  With so many choices in NY, id highly recommend something else.",https://www.tripadvisor.com/Profile/brigbound
1,The food is way over priced and the service was so so.,Andrew C,We stayed in NYC for New Year's eve at another compatible hotel. when we were cruising the Time Square we decided to go on to Marquis because we stayed here before. We went to the 8th floor to have some light lunch and coffee. The place is not fancy and the food is so so. They charged way too high for this kind of quality of  service and food. The tea came with a cup of hot water and a tea bag. They could at least bring a pot of hot water. The waitress was busy taking care of other customers. I won't go there again.,https://www.tripadvisor.com/Profile/andrewc49
1,Disappointed and filthy,Anne A,This was our first stop on our 40th birthday trip. We booked it last year as it had some good reviews. I was hugely disappointed.  It's not a very welcoming hotel. It's very dark when you walk in and trying to find the right check in desk when tired after a long flight was interesting.  On checking in we were offered at upgrade at 100 dollars a night but thought it would be better just to stick with what we had booked. Check in was ok but the receptionist didn't explain the facilities in the hotel or even how to get to our room or even what room number we were. Never had this before anywhere else in the world.  On entering the room it seemed at first glance ok. The bathroom was tiny and the bath well let's just say you wouldn't be relaxing in it. The toilet roll holder was in…,https://www.tripadvisor.com/Profile/803annea
2,Dated but conveniently located,Andrew P,"What can I say, after really looking forward to my first visit to New York, this hotel was a real disappointment.   My family had just stayed in a 4 star in Washington DC, the service was perfect, the room facilities were excellent, coffee machine etc., and the room had plenty of space.   In contrast the New Yorker had very poor service, the desk couldn't get the family names correct even though they were written on the document in front of him. We were charged $20 plus 2 lots of tax per night to change one of the rooms from a double to a twin. Even though we had the rooms we booked in Washington the New Yorker was adamant we booked all double rooms and not a twin.  The room was tiny with minimal facilities, the only thing on offer was water, at a price. The lifts made so much…",https://www.tripadvisor.com/Profile/andrewpY1085SA
1,Fraud charge on credit card,David Z,"I stayed at the New York Hilton Midtown in the busy season in August. The service is lukewarm, but given it is a busy hotel and it is not Hilton's flagship hotel in town, that was forgivable.   However, after one month, there was a charge on my credit card from the hotel, stating that I checked in the Hotel in September, whereas, I reside in the Netherlands.   This is a bottom-line security issue. I am filing the case to the global office now. This is very unprofessional.",https://www.tripadvisor.com/Profile/DavidZ2171
1,terrible service,michael s,"We recently stayed at the Grand Hyatt on 42nd street in Manhattan, NY.  We booked four nights with two rooms.  On arrival we checked in without issue but when we got to the room found mold in the shower and the room phone not working.  We returned from a day around the city and needed a cork screw so I asked the concierge for one.  He stated that they could not give me one but I had to call room service for this to be brought to our room, he could not do this for me.  I went to the room and attempted to call on both phones in the room but could not get a dial tone to get room service.  I had to go back down to the front desk and spoke with a manager who said that he would take care of both the mold issue and the telephone.  I thanked him assuming that these things would get done…",https://www.tripadvisor.com/Profile/H3815EGmichaels
2,"Hyatt chain should disown this ""Grand"" Hyatt",OzCol1981,"Having stayed at many Hyatts globally (and they are my preferred chain), I would say that the Grand Hyatt New York is certainly not Grand, and if I were Hyatt I would be disowning it as a member of its chain.  The rooms are old, dark, dusty and noisy. The bathroom is small and I had inconsistent hot water there. It felt like I was in a 1980s/early 90s four star hotel, which unfortunately, has been ignored since then. If this was $150 per night, perhaps I would consider it but at the $250-300 price that is often quoted here, there are many other better options in New York. This hotel relies on its location, its name, and the flocks of tourist groups that come here.  Oh, and unbelievably, until last week when they finally upgraded their internet, this hotel was still asking…",https://www.tripadvisor.com/Profile/OzCol1981
